,income,loan_amount,term_length,install_to_inc,occup,marital,schufa,num_applic,OBS_DATE,target_var
0,18785.517943694504,12300,67.0,0.009772532761805456,,Single,7106.014471346445,1,18JUL2018 - 00:00:00,
1,12861.495159877606,Not avail.,113.0,0.003509136597401741,Employee,Divorced,7694.806893720367,1,16JUL2018 - 00:00:00,0
2,14886.776341632107,10700,Not avail.,0.013310346283231944,Worker,Single,7142.496337537019,1,21DEC2010 - 00:00:00,1
3,Not avail.,33000,112.0,0.004760874885112928,Employee,Single,7446.1706118576485,1,05NOV2015 - 00:00:00,0
4,15897.753806874589,19900,59.0,0.02121608748572823,Worker,Separated,7241.656646188094,1,13JUL2015 - 00:00:00,1
5,30494.619635750943,28500,38.0,0.02459450253712046,Worker,Divorced,6566.899666826923,1,25JAN2016 - 00:00:00,1
6,34720.702548474204,,75.0,Not avail.,Worker,Single,14731.80930367151,1,10APR2014 - 00:00:00,0
7,31606.202672328945,14000,122.0,0.0036307461402543717,Employee,Single,7075.138485887948,1,19FEB2015 - 00:00:00,0
8,35963.25630084985,Not avail.,103.0,0.004589365943634535,Employee,Separated,9069.076779295736,1,28MAR2017 - 00:00:00,0
9,39686.88094449992,16200,85.0,0.0048022981589469224,Employee,Married,10278.352720753282,2,11SEP2010 - 00:00:00,0
10,8298.012135923487,16100,42.0,0.04619580292897126,Worker,Single,7109.577583490924,1,04JUL2018 - 00:00:00,1
11,40859.610611028416,14600,47.0,0.007602576070279438,2,Married,6248.914403920378,,24JUL2009 - 00:00:00,Not avail.
12,17186.184242083495,17800,53.0,0.01954180473530513,Worker,Single,11850.819652935996,1,16OCT2015 - 00:00:00,0
13,16173.57325530241,25600,40.0,0.039570723791057104,Worker,Divorced,9161.01317091043,1,01FEB2012 - 00:00:00,0
14,Not avail.,11800,75.0,0.0055870602967944515,Worker,Living together,7533.469389024128,1,26JUL2011 - 00:00:00,0
15,12751.178444191302,11300,51.0,0.017376325523223636,Worker,Single,8434.945057157527,1,,0
16,32154.98503129444,24900,79.0,0.009802208681203455,Employee,Divorced,13719.810104342621,1,30JUN2011 - 00:00:00,0
17,,22800,115.0,0.004909033282605524,Employee,Single,12620.010661360146,1,14APR2018 - 00:00:00,0
18,5924.459029973237,6700,64.0,0.01767038973016122,Worker,Separated,7420.145793888811,1,14JUL2010 - 00:00:00,0
19,12462.250479553233,15700,48.0,,,Divorced,8186.6483684341665,1,09JAN2016 - 00:00:00,0
20,29701.900721153375,15200,102.0,0.005017174127748905,Employee,Single,6352.812128613746,1,12SEP2015 - 00:00:00,0
21,27828.985756521448,17200,83.0,0.007446513411437876,Employee,Living together,6331.054622810586,1,14OCT2009 - 00:00:00,1
22,21938.42521342864,23300,,0.019667842029854044,Worker,Separated,11297.912795905553,2,02OCT2010 - 00:00:00,0
23,7142.5107820580815,,21.0,0.08200397641479161,Student,Single,7390.370877936813,1,10MAY2016 - 00:00:00,0
24,28203.25383648432,25800,75.0,0.01219717419821235,Worker,Separated,8133.550452361587,1,30JUL2018 - 00:00:00,0
25,31582.816992366465,19500,84.0,0.0073502897857073935,Employee,Divorced,7304.810868159161,1,22FEB2017 - 00:00:00,0
26,38442.59212673729,24000,18.0,0.03468375204610575,Student,Single,6784.697926327411,1,03FEB2016 - 00:00:00,0
27,6506.650036937288,,37.0,0.07019845145563637,Worker,Single,10452.220363283332,2,11SEP2008 - 00:00:00,0
28,20004.880623218454,22000,52.0,0.02114868521564099,Worker,Divorced,9548.309659147912,1,14JUL2015 - 00:00:00,0
29,22880.252810691396,8700,44.0,0.00864183076835932,,Not avail.,8762.645228937987,1,03NOV2008 - 00:00:00,0
30,38850.76850634753,22600,103.0,0.005647699753797828,Employee,Divorced,7888.758401369153,1,,0
31,12700.66827090062,10100,63.0,0.012622757865802602,Worker,Divorced,7802.898707144045,1,11SEP2011 - 00:00:00,0
32,15180.54980295491,Not avail.,84.0,0.012390541880019732,Employee,Separated,6188.357715160521,1,26JAN2010 - 00:00:00,
33,21859.77495227326,Not avail.,48.0,0.015629926081701762,Worker,Single,6536.681861132288,1,18JAN2017 - 00:00:00,0
34,31006.37735467751,14800,114.0,0.0041870277175067635,Not avail.,Single,9126.108092092942,1,04AUG2009 - 00:00:00,0
35,43904.85657307353,32200,47.0,0.015604341670914222,Worker,Living together,8790.23555559032,1,06JUN2018 - 00:00:00,0
36,11391.383341259963,13600,13.0,0.0918372962100786,Not avail.,Single,8720.049785951378,1,22JUN2012 - 00:00:00,0
37,33492.02538215149,27900,94.0,0.008862065140929713,Employee,Married,11100.58586169562,2,24AUG2010 - 00:00:00,0
38,Not avail.,21600,64.0,0.006166543953616701,Worker,Living together,6379.702385483784,1,12JUN2008 - 00:00:00,0
39,25356.876443201614,16900,107.0,0.006228839959347237,Employee,Divorced,9478.22828067292,1,14DEC2018 - 00:00:00,0
40,25246.167863206905,22500,108.0,0.00825207748210186,Employee,Single,14408.530967981034,1,04MAR2017 - 00:00:00,0
41,,24600,60.0,0.023572586752146747,Student,Single,6285.738802212027,1,10FEB2013 - 00:00:00,0
42,19910.268112532984,21700,19.0,0.05736262599291518,Student,Married,6537.756969170698,2,23NOV2015 - 00:00:00,0
43,29176.761262764925,13500,22.0,0.021031681964628467,Student,Single,6534.501980013056,1,15JAN2012 - 00:00:00,0
44,23089.79564776823,24300,51.0,0.02063554807949753,Worker,,9023.085217369433,2,24MAR2013 - 00:00:00,0
45,Not avail.,34100,38.0,0.03468146176089083,Worker,,9920.760354811873,1,13JUL2016 - 00:00:00,0
46,22817.497671018955,22700,20.0,0.04974252726413512,Student,Single,7827.506700146927,2,29NOV2018 - 00:00:00,0
47,38264.332530687025,Not avail.,16.0,0.03462754770222069,Student,Single,8507.841943992562,1,25AUG2018 - 00:00:00,0
48,39454.35849627048,32600,85.0,0.009720837605329711,Employee,Divorced,Not avail.,2,28OCT2015 - 00:00:00,0
49,28086.372542089353,7400,55.0,0.0047904176427137025,Worker,Divorced,11159.682089195028,1,01MAR2012 - 00:00:00,0
50,5390.539535004715,26200,35.0,0.13886762609019132,Student,Divorced,7877.289295742197,1,08OCT2016 - 00:00:00,1
51,46050.305743936115,27100,116.0,0.0050731626181642776,Employee,Single,8949.267842543206,1,11SEP2008 - 00:00:00,0
52,14221.727056089632,12900,65.0,0.013954812778983743,Worker,Separated,7809.742066222414,1,27JUN2018 - 00:00:00,0
53,12949.173043158477,18100,13.0,0.10752097355307949,Student,Single,7213.332138979532,1,20NOV2016 - 00:00:00,0
54,31232.27176852755,12200,78.0,0.005007969243142584,Worker,Single,7679.582700801261,1,09AUG2018 - 00:00:00,0
55,20984.557206953254,9400,44.0,0.010180646726516345,Worker,Married,12938.274142224445,2,04FEB2012 - 00:00:00,0
56,21915.06845591312,33200,15.0,,,Single,7751.812586433071,1,06MAR2012 - 00:00:00,0
57,10153.881131064662,22400,41.0,0.05380617089786128,Worker,Married,7790.29293683591,2,07SEP2017 - 00:00:00,0
58,43999.27957532533,37900,51.0,0.01688975960685297,1,Divorced,6582.726753964697,1,03JAN2013 - 00:00:00,0
59,31847.476368666994,14600,80.0,0.005730438352080916,Employee,Single,,1,15JAN2013 - 00:00:00,0
60,19114.038415062296,17300,64.0,0.014142092535870787,Student,Single,8825.276377167456,1,07MAR2010 - 00:00:00,0
61,9972.486795907267,14800,35.0,0.04240237681043453,Worker,Living together,10351.051933478217,1,13MAR2015 - 00:00:00,0
62,25459.125330069513,17300,48.0,0.014156679068663141,Worker,Married,7804.847824423941,2,29JUL2014 - 00:00:00,0
63,23667.237279927693,13300,62.0,0.009063843257032383,Worker,Single,8261.453694236696,2,25JUL2018 - 00:00:00,0
64,14268.99579787104,13900,43.0,0.02265441931111359,Not avail.,Single,7180.624086490514,1,08DEC2012 - 00:00:00,0
65,18661.19499774596,23800,83.0,,Employee,Separated,,1,04OCT2010 - 00:00:00,Not avail.
66,35760.57737247675,18300,96.0,0.005330590667328408,Employee,Not avail.,10823.59768908427,1,24AUG2015 - 00:00:00,0
67,28513.362167040825,19800,46.0,0.015095897147697438,Worker,Single,6571.70764984686,1,10DEC2013 - 00:00:00,1
68,28919.47759259514,15800,94.0,0.0058121764421504305,Employee,Divorced,6881.2753241996625,1,08SEP2018 - 00:00:00,0
69,11038.5105654499,5100,40.0,0.0115504713470194,Worker,Single,6803.800152278003,1,10SEP2009 - 00:00:00,1
70,32948.53635271541,16800,,0.005367221881119574,2,Married,12058.495057809454,2,06JUL2009 - 00:00:00,0
71,24234.212259741904,23500,Not avail.,0.014053673645117885,Worker,Separated,9447.352378944248,1,30DEC2011 - 00:00:00,0
72,28975.843028140454,18200,46.0,0.013654552639893796,Worker,Married,12730.471569024281,1,06SEP2017 - 00:00:00,0
73,35972.560864605184,,87.0,0.00802016148398011,Employee,Single,6224.704674646842,2,29JAN2012 - 00:00:00,0
74,26039.46284658394,27700,53.0,0.02007113251579713,Worker,Separated,8789.764312801624,1,06JUN2017 - 00:00:00,0
75,26744.968753610035,27800,81.0,0.01283268938188172,Employee,Divorced,12146.557563979752,1,21MAR2017 - 00:00:00,0
76,17608.70208620636,21800,,0.028791261372022578,Worker,Separated,7242.559157102439,1,09JUL2016 - 00:00:00,1
77,30158.34090177945,9600,21.0,0.015158090381420289,Student,Separated,9779.789015712195,1,27OCT2018 - 00:00:00,0
78,53561.46915211702,20600,150.0,0.0025640322326353744,Employee,Living together,7913.2501400851215,1,,0
79,67249.59153258291,30600,96.0,0.0047398057406127635,Employee,Living together,6133.2269164695645,1,09JUL2016 - 00:00:00,0
80,25119.770085152093,15800,58.0,0.010844597390024196,Worker,Single,12219.749890689369,1,,0
81,9186.152620080655,26900,21.0,0.13944383834340585,Student,Separated,6727.129700779664,1,14MAY2010 - 00:00:00,1
82,,18000,73.0,0.013141443232656787,Not avail.,Divorced,7446.2620695245305,Not avail.,26DEC2008 - 00:00:00,0
83,25744.68945040095,21100,38.0,0.02156806587100196,Worker,Single,6259.675409354042,1,02JAN2014 - 00:00:00,1
84,30679.153160825103,21400,65.0,0.010731416460711548,Worker,Separated,9142.607632137851,1,21FEB2012 - 00:00:00,1
85,15349.66246581002,18700,,0.046856455041457135,Student,Married,7485.359638796694,1,11JUL2017 - 00:00:00,0
86,35722.151061904704,24600,67.0,0.010278333420297128,Worker,Single,10242.633515267224,1,12OCT2015 - 00:00:00,
87,10356.220008592278,13400,64.0,0.020217318657414305,Student,Single,9688.828104893704,1,,0
88,45623.14333574557,22700,128.0,0.003887144484870507,Employee,Single,7059.215417926519,1,24MAR2015 - 00:00:00,0
